#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
AIN;阿伊努;;;;;;;;;;;;x
AIN_ADJ;阿伊努的;;;;;;;;;;;;x
AIN_absolute_monarchy;阿伊努之地;;;;;;;;;;;;x
AIN_conservative;保守派;;;;;;;;;;;;x
AIN_liberal;改革派;;;;;;;;;;;;x
AIN_socialist;进步派;;;;;;;;;;;;x
AIN_communist;共产派;;;;;;;;;;;;x
AIN_reactionary;民族派;;;;;;;;;;;;x
AIN_anarcho_liberal;激进派;;;;;;;;;;;;x
AIN_fascist;法西斯派;;;;;;;;;;;;x
BIM;比马;;;;;;;;;;;;x
BIM_ADJ;比马的;;;;;;;;;;;;x
BMK;马里;;;;;;;;;;;;x
BMK_ADJ;马里的;;;;;;;;;;;;x
CEQ;赤道邦联;;;;;;;;;;;;x
CEQ_proletarian_dictatorship;基隆波拉;;;;;;;;;;;;x
CEQ_ADJ;诺德斯提诺的;;;;;;;;;;;;x
CEQ_liberal;自由党;;;;;;;;;;;;x
CEQ_conservative;保守党;;;;;;;;;;;;x
CEQ_reactionary;卡拉穆鲁党;;;;;;;;;;;;x
CEQ_conservative_2;圣保罗党;;;;;;;;;;;;x
CEQ_liberal_2;里约热内卢党;;;;;;;;;;;;x
CEQ_anarcho_liberal;激进党;;;;;;;;;;;;x
CEQ_socialist;社会党;;;;;;;;;;;;x
CEQ_communist;共产党;;;;;;;;;;;;x
CEQ_fascist;法西斯党;;;;;;;;;;;;x
HAL_absolute_monarchy_ADJ;拉希德的;;;;;;;;;;;;x
HAL_prussian_constitutionalism_ADJ;拉希德的;;;;;;;;;;;;x
HAL_hms_government_ADJ;拉希德的;;;;;;;;;;;;x
ISL;伊斯兰哈里发国;;;;;;;;;;;;x
ISL_ADJ;伊斯兰的;;;;;;;;;;;;x
ISL_proletarian_dictatorship;伊斯兰人民共和国;;;;;;;;;;;;x
ISL_presidential_dictatorship;伊斯兰共和国;;;;;;;;;;;;x
ISL_bourgeois_dictatorship;伊斯兰共和国;;;;;;;;;;;;x
ISL_democracy;伊斯兰共和国;;;;;;;;;;;;x
ISL_liberal;伊斯兰自由派;;;;;;;;;;;;x
ISL_conservative;伊斯兰保守派;;;;;;;;;;;;x
ISL_reactionary;伊斯兰原教旨主义派;;;;;;;;;;;;x
ISL_socialist;社会派;;;;;;;;;;;;x
ISL_anarcho_liberals;无政府派;;;;;;;;;;;;x
ISL_communist;共产派;;;;;;;;;;;;x
ISL_fascist;圣战组织;;;;;;;;;;;;x
LEO;莱昂;;;;;;;;;;;;x
LEO_ADJ;莱昂的;;;;;;;;;;;;x
LEO_conservative;温和党;;;;;;;;;;;;x
LEO_liberal;进步党;;;;;;;;;;;;x
LEO_reactionary;卡洛斯圣团;;;;;;;;;;;;x
LEO_socialist;社会党;;;;;;;;;;;;x
LEO_communist;地方工联;;;;;;;;;;;;x
LEO_anarcho_liberal;激进党;;;;;;;;;;;;x
LEO_fascist;长枪党;;;;;;;;;;;;x
LXA_ADJ;澜沧王国的;;;;;;;;;;;;x
NEJ_absolute_monarchy_ADJ;沙特的;;;;;;;;;;;;x
NEJ_prussian_constitutionalism_ADJ;沙特的;;;;;;;;;;;;x
NEJ_hms_government_ADJ;沙特的;;;;;;;;;;;;x
RGR_fascist_dictatorship;里奥布拉沃;;;;;;;;;;;;x
SYC;西西里;;;;;;;;;;;;x
SYC_ADJ;西西里的;;;;;;;;;;;;x
TUR_presidential_dictatorship;土耳其;;;;;;;;;;;;x
TUR_presidential_dictatorship_ADJ;土耳其的;;;;;;;;;;;;x
TUR_bourgeois_dictatorship_ADJ;土耳其的;;;;;;;;;;;;x
TUR_fascist_dictatorship;土耳其;;;;;;;;;;;;x
USA_democracy;美利坚合众国;;;;;;;;;;;;x
USA_presidential_dictatorship;美利坚合众国;;;;;;;;;;;;x
USA_fascist_dictatorship;美利坚合众国;;;;;;;;;;;;x
ASH_proletarian_dictatorship;加纳;;;;;;;;;;;;x
ASH_proletarian_dictatorship_ADJ;加纳的;;;;;;;;;;;;x
ASH_fascist_dictatorship;加纳;;;;;;;;;;;;x
ASH_fascist_dictatorship_ADJ;加纳的;;;;;;;;;;;;x
ASH_bourgeois_dictatorship;加纳;;;;;;;;;;;;x
ASH_bourgeois_dictatorship_ADJ;加纳的;;;;;;;;;;;;x
ASH_presidential_dictatorship;加纳;;;;;;;;;;;;x
ASH_presidential_dictatorship_ADJ;加纳的;;;;;;;;;;;;x
ASH_democracy;加纳;;;;;;;;;;;;x
ASH_democracy_ADJ;加纳的;;;;;;;;;;;;x
