#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
EVTNAME31717;奥地利帝国的土地;;;;;;;;;;;;x
EVTDESC31717;随着大德意志的形成，以前属于奥地利帝国的土地被赋予了自治权。作为这一进程的一部分，新成立的德意志帝国向我们提供了由$COUNTRY_ADJ$人民主张的土地，以示对我们和欧洲权力平衡的善意。;;;;;;;;;;;;x
EVT31717OPTA;我们为什么要拒绝？;;;;;;;;;;;;x
EVTOPTA23200;我们应当组织一支探险队。§R(支付或赊欠30,000¤)§W;;;;;;;;;;;;x
EVTOPTA23201;我们要再试一次。§R(支付或赊欠50,000¤)§W;;;;;;;;;;;;x
EVTNAME98906;建立$FROMCOUNTRY_ADJ$尼日尔公司;;;;;;;;;;;;x
EVTDESC98906;$FROMCOUNTRY_ADJ$官员今日到达了$CAPITAL$，宣布将会在尼日尔三角洲成立一家新的贸易公司以经营业务。看起来$FROMCOUNTRY$有着对南尼日利亚的野心......;;;;;;;;;;;;x
EVT98906OPTA;这伤不到我们，对吧？;;;;;;;;;;;;x
EVTNAME6016825;废除农奴制;;;;;;;;;;;;x
EVTDESC6016825;我国废除农奴制的一切准备工作已经就绪。;;;;;;;;;;;;x
EVTNAME6016824;$FROMCOUNTRY$的附庸化;;;;;;;;;;;;x
EVTDESC6016824;由于最近的一场战争，$FROMCOUNTRY$以附庸的形式转移给了我们。$CAPITAL$的官员们正在完成迎接$COUNTRY$帝国中的$FROMCOUNTRY$人的准备工作。;;;;;;;;;;;;x
EVT6016824OPTA;我们欢迎$FROMCOUNTRY$人。;;;;;;;;;;;;x
EVTNAME6016822;转移附庸;;;;;;;;;;;;x
EVTDESC6016822;$FROMCOUNTRY$有附庸在他们的指挥下。他们与$COUNTRY_ADJ$政府在$YEAR$年的全国联盟促使$CAPITAL$的官员争先恐后地准备$FROMCOUNTRY_ADJ$附庸——现在是我们的附庸——在$COUNTRY$的整合。;;;;;;;;;;;;x
EVT6016822OPTA;正如期望。;;;;;;;;;;;;x
EVTNAME6016823;新的$FROMCOUNTRY_ADJ$主人;;;;;;;;;;;;x
EVTDESC6016823;随着我们的老主人与$FROMCOUNTRY$这个大国家的联合，我们的新宗主开始安排我们转变为$FROMCOUNTRY_ADJ$政府的新附庸。;;;;;;;;;;;;x
EVT6016823OPTA;在这件事上我们别无选择。;;;;;;;;;;;;x
EVTNAME971714;长枪党思想;;;;;;;;;;;;x
EVTDESC971714;多年来，西班牙人民一直受到外国统治和不公平条约的羞辱。再也不会了！$CAPITAL$的新政府提出了一项雄心勃勃的计划，用一切必要的手段收回属于西班牙人民的失地。这些主张涉及大量的宣传工作，以重视我们的主张，并显示了那些从西班牙人民手中被不公正剥夺的权益。这些主张的重点是.....;;;;;;;;;;;;x
EVT971714OPTA;直布罗陀，我们的权益所在。;;;;;;;;;;;;x
