#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
steal_puppet;夺取傀儡国;;;;;;;;;;;;x
steal_puppet_short;傀儡$THIRD$;;;;;;;;;;;;x
steal_puppet_desc;从第三国夺取一个§Y傀儡§W并使之成为我们的傀儡。;;;;;;;;;;;;x
steal_puppet_setup;从$RECIPIENT$夺取$THIRD$;;;;;;;;;;;;x
cut_down_to_size;制裁;;;;;;;;;;;;x
place_in_the_sun;阳光下的地盘;;;;;;;;;;;;x
acquire_state;获得地区;;;;;;;;;;;;x
take_from_sphere;争夺势力范围;;;;;;;;;;;;x
permanent_colonial_claim;收复殖民地;;;;;;;;;;;;x
permanent_colonial_claim_short;收复殖民地;;;;;;;;;;;;x
permanent_colonial_claim_desc;根据列强会议的规定，夺取一块属于我们的§Y合法殖民地§W的§Y州§W;;;;;;;;;;;;x
permanent_colonial_claim_setup;从$RECIPIENT$手中夺取$STATE$;;;;;;;;;;;;x
AGRESSION_WAR_NAME_REPARATIONS_PEU_CHL;$ORDER$太平洋战争;;;;;;;;;;;;x
AGRESSION_WAR_NAME_REPARATIONS_BOL_CHL;$ORDER$太平洋战争;;;;;;;;;;;;x
AGRESSION_WAR_NAME_REPARATIONS_CHL_PBC;$ORDER$邦联战争;;;;;;;;;;;;x
NORMAL_WAR_NAME_REPARATIONS_CHL_PBC;$ORDER$邦联战争;;;;;;;;;;;;x
NORMAL_WAR_NAME_REPARATIONS_FRA_MEX;$ORDER$法国干涉墨西哥战争;;;;;;;;;;;;x
AGRESSION_CUT_DOWN_TO_SIZE_WAR_NAME_CHL_PBC;$ORDER$邦联战争;;;;;;;;;;;;x
NORMAL_CUT_DOWN_TO_SIZE_WAR_NAME_CHL_PBC;$ORDER$邦联战争;;;;;;;;;;;;x
NORMAL_WAR_NAME_REPARATIONS;$ORDER$$FIRST$-$SECOND$战争;;;;;;;;;;;;x
AGRESSION_WAR_NAME_REPARATIONS;$ORDER$$FIRST$侵略战争;;;;;;;;;;;;x
